City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max temp in F,Windspeed
Russell,0,AR,1527517489,56,-33.01,-68.8,55.04,2.82
Arandis,0,NA,1527517780,76,-22.42,14.98,72.05,4.94
Limbang,88,BN,1527517780,100,4.75,115.01,72.59,3.49
Esperance,68,TT,1527517780,66,10.24,-61.45,85.37,7.18
Grenfell,0,AU,1527517781,84,-33.9,148.16,47.57,7.4
Sosnovo-Ozerskoye,0,RU,1527517781,67,52.53,111.54,50.9,9.19
Drayton Valley,0,CA,1527517739,46,53.22,-114.98,68.36,6.62
Rawson,0,AR,1527517781,34,-43.3,-65.11,61.07,17.81
Ancud,88,CL,1527517782,76,-41.87,-73.83,52.07,6.96
Boueni,20,YT,1527517782,99,-12.9,45.08,82.04,14.34
Sorong,36,ID,1527517782,100,-0.86,131.25,80.24,4.38
Kamenka,0,RU,1527517783,32,53.19,44.05,59.18,18.59
Campbell River,44,CA,1527517783,81,50.02,-125.24,49.64,2.82
Campo Maior,0,ES,1527517783,56,39.01,-7.07,72.68,9.53
Gallup,0,US,1527517783,25,35.53,-108.74,59.0,7.07
Vinhedo,0,BR,1527517784,52,-23.03,-46.98,74.3,4.61
Vila Franca do Campo,0,PT,1527517784,98,37.72,-25.43,65.66,6.96
Barranca,64,PE,1527517784,100,-10.75,-77.76,64.22,3.94
Plouzane,32,FR,1527517784,95,48.38,-4.62,60.08,10.87
Lavrentiya,76,RU,1527517785,100,65.58,-170.99,29.57,4.05
Marystown,0,CA,1527517785,73,47.17,-55.16,49.28,12.77
Longhua,48,CN,1527517785,87,29.21,106.21,68.0,2.71
Porto Novo,0,BR,1527517785,67,-23.68,-45.44,70.88,5.17
Vestmanna,64,FO,1527517786,93,62.16,-7.17,49.82,12.1
Kalmunai,56,LK,1527517786,77,7.42,81.82,82.67,12.21
Tateyama,8,JP,1527517786,82,36.66,137.31,52.52,2.04
Whitehorse,8,CA,1527517613,53,60.72,-135.06,35.42,3.15
Muros,44,ES,1527517787,83,42.77,-9.06,62.06,10.87
Sao Miguel,76,BR,1527517787,97,4.52,-61.01,70.16,3.6
Remedios,92,CU,1527517788,100,22.5,-79.55,76.64,8.52
Saint Anthony,24,US,1527517788,85,43.97,-111.68,54.14,4.16
Wenzhou,88,CN,1527517788,98,28.02,120.66,71.06,2.26
Atasu,56,KZ,1527517789,32,48.68,71.64,61.7,16.46
Tecoanapa,0,MX,1527517789,75,16.99,-99.26,82.13,1.36
Flinders,0,AU,1527517789,90,-34.58,150.85,46.58,3.49
Marondera,68,ZW,1527517789,56,-18.19,31.55,67.28,5.17
Neyshabur,0,IR,1527517575,36,36.21,58.79,71.15,7.18
Paralimni,36,GR,1527517790,76,40.99,23.67,71.78,2.48
Vagur,36,FO,1527517790,95,61.47,-6.81,50.72,6.06
Tarauaca,8,BR,1527517790,75,-8.16,-70.77,85.64,3.83
Puerto Escondido,0,MX,1527517790,100,15.86,-97.07,83.75,7.52
Lagoa,36,PT,1527517791,61,37.14,-8.45,68.18,11.77
Cap Malheureux,0,MU,1527517791,100,-19.98,57.61,78.44,7.07
Taixing,76,CN,1527517792,94,32.17,120.02,71.96,2.82
Vao,0,EE,1527517792,26,59.1,26.19,70.7,3.15
San Giorgio del Sannio,36,IT,1527517792,48,41.07,14.85,78.62,2.93
Idah,12,NG,1527517793,73,7.11,6.73,90.05,6.96
Yhu,0,PY,1527517793,58,-25.05,-55.92,79.16,13.0
Arkhipo-Osipovka,0,RU,1527517794,42,44.37,38.53,82.85,6.51
Bumba,32,CD,1527517794,97,2.18,22.47,76.64,2.04
Bowen,32,AU,1527517794,99,-20.01,148.25,73.4,19.37
Charters Towers,0,AU,1527517794,87,-20.07,146.27,60.44,6.85
Copiapo,0,CL,1527517795,80,-27.37,-70.33,62.87,1.25
Gisborne,100,NZ,1527517795,86,-38.66,178.02,50.45,19.48
Talakan,0,RU,1527517796,79,50.29,130.28,56.48,2.59
Iquitos,88,PE,1527517796,91,-3.75,-73.25,78.98,5.5
Northam,12,GB,1527517796,100,51.04,-4.21,67.64,5.39
Mehran,0,IR,1527517796,22,33.12,46.17,99.32,6.96
Dunedin,8,NZ,1527517797,91,-45.87,170.5,25.7,2.59
Cabo San Lucas,0,MX,1527517749,100,22.89,-109.91,72.77,10.42
Nador,0,MA,1527517741,94,35.17,-2.93,66.83,15.79
Hun,12,BE,1527517798,69,50.34,4.87,79.7,7.29
Tupelo,76,US,1527517653,90,34.26,-88.7,75.02,10.98
Derzhavinsk,92,KZ,1527517798,41,51.1,66.31,59.45,22.62
Ewo,44,CG,1527517798,93,-0.88,14.81,77.0,3.71
Lyngseidet,44,NO,1527517799,80,69.58,20.21,49.37,1.59
Iquique,0,CL,1527517691,100,-20.22,-70.14,63.95,3.71
Ponta do Sol,0,BR,1527517799,60,-20.63,-46.0,71.06,9.31
Tukan,92,RU,1527517799,81,53.84,57.45,42.53,5.95
Ballater,20,GB,1527517800,68,57.05,-3.04,68.54,4.16
Mecca,0,SA,1527517697,13,21.43,39.83,103.82,12.66
Huarmey,8,PE,1527517800,70,-10.07,-78.15,70.79,3.6
Kupang,0,ID,1527517800,95,-10.16,123.6,77.72,14.0
Okitipupa,88,NG,1527517801,79,6.5,4.78,83.93,4.72
Adrar,0,DZ,1527517801,12,27.87,-0.29,100.94,11.99
Arnedo,92,ES,1527517801,87,42.23,-2.1,54.68,3.27
Angoram,68,PG,1527517802,100,-4.06,144.07,76.46,2.48
Srandakan,36,ID,1527517803,88,-7.94,110.25,72.95,4.94
Nishihara,64,JP,1527517832,78,35.74,139.53,65.75,4.72
Sorland,80,NO,1527517805,89,67.67,12.69,48.47,19.37
Baykit,92,RU,1527517834,98,61.68,96.39,33.8,2.71
Malinovoye Ozero,88,RU,1527517807,53,51.68,79.77,50.54,7.74
Port Lincoln,44,AU,1527517835,91,-34.72,135.86,58.55,25.08
Umm Lajj,0,SA,1527517835,48,25.02,37.27,94.01,4.38
Sioux Lookout,0,CA,1527517511,55,50.1,-91.92,65.12,5.5
Pizarro,92,CO,1527517808,95,4.95,-77.37,79.88,3.27
Shubarkuduk,92,KZ,1527517808,22,49.15,56.49,67.82,19.04
Kimbe,0,PG,1527517809,100,-5.56,150.15,80.6,7.4
Prince George,44,CA,1527517810,68,53.92,-122.75,48.74,5.06
Mambolo,32,SL,1527517838,100,8.92,-13.04,84.38,8.63
Ganzhou,8,CN,1527517811,96,25.86,114.93,72.14,2.71
Berlevag,92,NO,1527517811,96,70.86,29.09,44.69,12.1
Nizhniy Kuranakh,44,RU,1527517811,80,58.84,125.49,56.66,6.62
Batesville,0,US,1527517779,67,35.77,-91.64,84.74,3.38
Yar-Sale,88,RU,1527517812,99,66.83,70.83,31.91,16.69
Kaduqli,64,SD,1527517812,70,11.01,29.72,82.49,8.75
Berndorf,0,AT,1527517813,66,47.95,16.11,77.36,8.41
Las Palmas,20,PE,1527517841,82,-6.53,-76.35,79.43,2.82
Atambua,0,ID,1527517814,100,-9.11,124.89,76.46,13.22
Puri,20,ID,1527517843,84,-7.54,112.45,73.4,4.94
Weihai,64,CN,1527517816,89,37.5,122.11,63.32,8.75
Champerico,0,MX,1527517816,64,16.38,-93.6,81.05,2.59
Komsomolskiy,32,RU,1527517845,94,67.55,63.78,26.87,13.0
Saint George,32,GR,1527517818,47,39.45,22.34,80.78,3.94
Ahipara,0,NZ,1527517819,100,-35.17,173.16,47.3,10.98
Dembi Dolo,92,ET,1527517820,96,8.53,34.8,68.9,1.59
Yining,48,CN,1527517848,91,29.04,114.56,69.17,1.36
Myitkyina,68,MM,1527517821,93,25.38,97.4,77.18,2.15
Ngaoundere,68,CM,1527517822,78,7.32,13.58,78.44,5.73
Pochutla,0,MX,1527517850,100,15.74,-96.47,84.2,8.63
Poltavka,88,RU,1527517823,56,54.36,71.76,59.0,16.35
Turochak,100,RU,1527517851,96,52.26,87.12,50.99,5.61
Sukhothai,92,TH,1527517824,85,17.01,99.82,80.6,1.36
Huilong,12,CN,1527517824,91,28.89,110.18,66.92,2.04
Yate,0,GB,1527517825,77,51.54,-2.41,75.38,7.18
Antalaha,88,MG,1527517826,99,-14.9,50.28,73.94,10.42
Lahaina,36,US,1527517826,100,20.87,-156.68,69.08,6.29
Tromso,56,NO,1527517827,78,69.65,18.96,57.83,2.37
Kanniyakumari,64,IN,1527517827,100,8.08,77.57,81.77,27.65
Staden,12,BE,1527517686,71,50.97,3.01,80.6,4.27
Chodziez,0,PL,1527517827,40,52.99,16.92,83.12,13.33
Atar,0,MR,1527517828,17,20.52,-13.05,103.64,4.38
Ulaangom,0,MN,1527517828,49,49.98,92.07,50.18,3.04
Novobirilyussy,80,RU,1527517856,77,56.95,90.69,51.17,11.21
Nanortalik,0,GL,1527517829,97,60.14,-45.24,34.7,6.73
Khani,8,GE,1527517830,61,41.96,42.96,73.85,1.81
Nome,0,US,1527517830,80,30.04,-94.42,84.38,4.38
Terrace Bay,64,CA,1527517830,100,48.78,-87.1,40.64,0.81
Bemidji,36,US,1527517831,72,47.48,-94.89,72.14,13.33
Morant Bay,56,JM,1527517832,100,17.88,-76.41,79.07,13.11
Santa Maria,0,BR,1527517833,70,-29.69,-53.81,76.28,13.0
Zhezkazgan,0,KZ,1527517833,26,47.8,67.71,61.16,16.13
Fare,0,PF,1527517833,100,-16.7,-151.02,80.33,10.87
Seoul,80,KR,1527517834,82,37.57,126.98,62.15,2.37
Bouafle,36,FR,1527517834,65,48.96,1.9,77.99,7.85
Las Varas,8,MX,1527517834,76,21.18,-105.14,77.45,1.59
Bonavista,0,CA,1527517834,79,48.65,-53.11,46.67,8.52
Bilibino,76,RU,1527517835,73,68.06,166.44,34.7,3.6
Sakaiminato,36,JP,1527517835,99,35.55,133.23,61.61,2.37
Boma,12,NG,1527517835,64,11.23,4.46,94.1,4.38
Bereda,92,ES,1527517836,71,43.27,-7.54,62.69,4.72
Los Llanos de Aridane,44,ES,1527517836,100,28.66,-17.92,66.29,10.65
Bikaner,0,IN,1527517836,13,28.02,73.32,93.38,5.28
